"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","PolyORB-LF-S06-J04-T08-unfolded.pnml","810","14014","118428","0","tg,bs,hf","1002.600","810","14014","","","","","","","","","1796.83","3470444","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","414","414","0.030","1501","349","248","248","208","0.03","2825116",
"performance","error","boostperm","chain","sat-like","20","true","true","eratosthenes-100.pnml","99","283","849","0","tg,bs,hf","","","","","","","","","","","","0.02","92","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.380","476","920","","","","","","","","","1795.91","3951220","","","","","","",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","Kanban-200.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1768.14","3939272","","","","","","",
"performance","oomem","mddtable","chain","sat-like","20","true","true","soli2.pnml","74","92","552","0","tg,bs,hf","0.010","74","92","","","","","","","","","967.16","3940392","","","","","","",
"statistics","done","","chain","sat-like","20","true","true","rwmutex-r10w2000.pnml","4030","4020","48060","0","tg,bs,hf","900.940","4030","4020","411786","411786","459.060","3024","21592","96120","136126","4100060","1370.54","3184568","21592","1064878","4477474","4098","598961532","301104788",
"performance","ootime","killed","bfs","sat-like","20","true","true","BridgeAndVehicles-V50-P50-N10-unfolded.pnml","128","1328","10010","0","tg,bs,hf","1.790","128","1328","","","","","","","","","1796.24","3858372","","","","","","",
"statistics","ootime","killed","bfs-prev","sat-like","20","true","true","30-100_phaseVariation.pnml","2702","30977","215035","0","tg,bs,hf","","","","","","","","","1795.36","598164","","","","","","",
"performance","done","","bfs-prev","sat-like","20","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","3540","3540","4.610","42734935","11992","2999","2744","4011","4.62","2929908",
"performance","ootime","killed","chain-prev","sat-like","20","true","true","ARMCacheCoherence.pnml","87","33676","246935","87","tg,bs,hf","","","","","","","","","1797.53","384080","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","0.160","896","1056","","","","","","","","","1793.12","3951612","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","20","true","true","hc5k3p3b15.pnml","9153","25110","100440","0","tg,bs,hf","76.920","9153","25110","","","","","","","","","81.64","1201120","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","FMS-500.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1791.36","3939352","","","","","","",
"performance","ootime","killed","chain","sat-like","20","true","true","2-100_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.010","14","65","","","","","","","","","1794.41","3939828","","","","","","",
"performance","ootime","killed","bfs","sat-like","20","true","true","PolyORB-NT-S10-J20-unfolded.pnml","474","11760","111119","0","tg,bs,hf","873.390","474","11760","","","","","","","","","1795.23","3173348","","","","","","",
"statistics","oomem","mddtable","bfs-prev","sat-like","20","true","true","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","1253.24","3941332","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","20","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","1461.540","2601","127551","","","","","","","","","1472.10","1829648","","","","","","",
"statistics","ootime","killed","chain","sat-like","20","true","true","echo-d2r19.pnml","3455","2730","15940","0","tg,bs,hf","1.430","3455","2730","","","","","","","","","1791.93","4003328","","","","","","",
"performance","done","","chain-prev","sat-like","20","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","45027","45027","17.370","11329291100161","16311","718","502","1556","17.40","2938764",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.720","1408","2400","","","","","","","","","1778.08","3965212","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.790","1408","2400","","","","","","","","","1783.72","3965212","","","","","","",
"performance","ootime","killed","bfs-prev","sat-like","20","true","true","SwimmingPool-8.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","1781.91","3941124","","","","","","",
