"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","chain-prev","sat-loop","2147483647","peg_solitaire.5","dve2C","tg,bs,hf","1.370","","","","","","51","140","980","980","38.950","84191","28006","765152","3920840","11786740","40.86","3381644","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-loop","2147483647","hanoi.3","dve2C","tg,bs,hf","0.000","262","34969","36816","14.516","15.242","57","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","bopdp.1","dve2C","tg,bs,hf","0.000","","","","","","26","79","1975","1975","0.270","12642","2429","338","3351","5285","0.27","2893120","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","pgm_protocol.4","dve2C","tg,bs,hf","0.020","","","","","","122","120","26520","26520","4.130","39832","58129","4941","17699","36106","4.18","2912148","","","","","","","","",
"performance","done","","chain","sat-loop","2147483647","collision.4","dve2C","tg,bs,hf","0.000","","","","","","22","53","3180","3180","38.480","41465543","6175","492","1063","2038","38.49","3112192","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","2147483647","bakery.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","error","boostperm","chain-prev","sat-loop","2147483647","telephony.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","88","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","extinction.1","dve2C","tg,bs,hf","0.000","","","","","","40","79","5767","5767","0.620","8993","4927","680","2079","2444","0.63","2893208","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","leader_filters.3","dve2C","tg,bs,hf","0.000","","","","","","23","40","1000","1000","1.040","91093","15511","991","2241","6942","1.05","2899180","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","lamport_nonatomic.5","dve2C","tg,bs,hf","0.040","","","","","","30","365","29565","29565","186.610","95118524","46765","1340","9066","25787","186.67","3676848","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","firewire_tree.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.10","15220","","","","","","","","",
"statistics","done","","bfs-prev","sat-loop","2147483647","leader_filters.5","dve2C","tg,bs,hf","0.010","215","17469","19560","23.391","25.31","28","50","3300","3300","11.470","1572886","137867","2092","4887","36337","11.74","2942288","148784","4031597","883863","15030684","1636635","1675","","","15247446",
"performance","done","","bfs-prev","sat-loop","2147483647","cambridge.5","dve2C","tg,bs,hf","0.010","","","","","","32","58","10382","10382","16.490","698912","17522","29204","41150","371452","16.52","2976988","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","adding.2","dve2C","tg,bs,hf","0.000","","","","","","5","6","366","366","160.780","836838","375982","98701","373104","461562","160.92","3282056","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","896","896","98.960","174495861","64009","865","536","30916","98.99","3839044","","","","","","","","",
"statistics","done","","bfs","sat-loop","2147483647","fischer.1","dve2C","tg,bs,hf","0.000","40","906","1040","6.984","7.354","8","19","361","361","0.010","634","244","101","232","392","0.10","2892880","280","10689","","18953","2163","100","","","19490",
"performance","done","","bfs-prev","sat-loop","2147483647","peg_solitaire.4","dve2C","tg,bs,hf","0.070","","","","","","27","60","1380","1380","182.960","873326","123054","3350225","7383240","52399560","184.61","3837308","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","lann.6","dve2C","tg,bs,hf","0.000","","","","","","20","40","8120","8120","159.180","144151628","98221","315","490","1082","159.23","3835612","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","cyclic_scheduler.2","dve2C","tg,bs,hf","0.000","","","","","","20","30","1560","1560","0.050","3302","179","149","285","267","0.06","2890920","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","lamport.8","dve2C","tg,bs,hf","0.000","","","","","","17","70","11340","11340","128.960","62669317","51915","558","1297","5245","129.00","3843520","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","bridge.1","dve2C","tg,bs,hf","0.000","","","","","","10","41","533","533","0.080","3186","1484","798","2898","9948","0.09","2893012","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","mcs.6","dve2C","tg,bs,hf","0.000","","","","","","21","65","2015","2015","0.480","332544","3170","232","921","1260","0.48","2899208","","","","","","","","",
"performance","done","","chain-prev","sat-loop","2147483647","synapse.2","dve2C","tg,bs,hf","0.020","","","","","","22","149","3129","3129","1.090","61048","9284","1420","8544","28636","1.12","2897348","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","4368","4368","39.750","416935","156712","1605","3030","15660","39.82","3022064","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","krebs.4","dve2C","tg,bs,hf","0.000","","","","","","20","22","2288","2288","18.870","1047405","43172","23783","26082","313471","18.91","3042420","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","telephony.8","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","done","","bfs","sat-loop","2147483647","iprotocol.6","dve2C","tg,bs,hf","0.000","","","","","","37","35","15925","15925","257.360","41387484","95004","4223","12799","54651","257.42","3837228","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","88624","88624","43.680","13184427","29626","1262","2944","17685","43.70","3476776","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","2147483647","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","10112","10112","0.370","25685","1040","332","3479","5294","0.38","2895128","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","2147483647","telephony.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","2147483647","peg_solitaire.3","dve2C","tg,bs,hf","4.110","","","","","","51","240","","","","","","","","","","","","","","","","","","",
