"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"schedule_world.1","dve2C",333,0.582,460,0.805
"schedule_world.2","dve2C",568,0.5338,791,0.7434
"schedule_world.3","dve2C",757,0.4453,1061,0.6244
"sokoban.1","dve2C",279,0.456,538,0.878
"sokoban.2","dve2C",263,0.457,506,0.878
"sokoban.3","dve2C",859,0.4481,1698,0.8857
"sorter.1","dve2C",369,0.382,458,0.474
"sorter.2","dve2C",363,0.376,446,0.462
"sorter.3","dve2C",571,0.3786,675.7,0.4481
"sorter.4","dve2C",572,0.3793,677.6,0.4493
"sorter.5","dve2C",565,0.3747,662.6,0.4394
"synapse.1","dve2C",1473,0.5111,2016,0.6994
"synapse.2","dve2C",1707,0.5207,2356,0.7187
"synapse.3","dve2C",1941,0.5283,2696,0.7339
"synapse.4","dve2C",2175,0.5344,3037,0.7461
"synapse.5","dve2C",2454,0.5248,3458,0.7394
"synapse.6","dve2C",2998,0.5519,4200,0.7732
"synapse.7","dve2C",3403,0.5499,4768,0.7705
"szymanski.1","dve2C",,,,
"szymanski.2","dve2C",,,,
"szymanski.3","dve2C",,,,
"szymanski.4","dve2C",,,,
"szymanski.5","dve2C",,,,
"telephony.1","dve2C",,,,
"telephony.2","dve2C",,,,
"telephony.3","dve2C",,,,
"telephony.4","dve2C",,,,
"telephony.5","dve2C",,,,
"telephony.6","dve2C",,,,
"telephony.7","dve2C",,,,
"telephony.8","dve2C",,,,
