"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state_vector_length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus"
"performance","ootime","explore","chain","sat-like","40","true","true","2-100_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.010","14","65","","","","","","","","","1794.66","3939836","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","PolyORB-NT-S10-J20-unfolded.pnml","474","11760","111119","0","tg,bs,hf","892.220","474","11760","","","","","","","","","1795.22","3298216","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","40","true","true","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","1780.56","3941324","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","40","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","1447.110","2601","127551","","","","","","","","","1457.58","1829304","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","echo-d2r19.pnml","3455","2730","15940","0","tg,bs,hf","1.430","3455","2730","","","","","","","","","1795.99","4001668","","","","","","",
"performance","done","","chain-prev","sat-like","40","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","31546","31546","15.260","11329291100161","16311","718","502","1556","15.28","2938756",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.720","1408","2400","","","","","","","","","1778.13","3965188","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.700","1408","2400","","","","","","","","","1762.14","3965180","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","SwimmingPool-8.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","1781.42","3941128","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","193.660","1202","13457","","","","","","","","","1777.15","4108912","","","","","","",
"statistics","ootime","explore","chain","sat-like","40","true","true","rwmutex-r1000w10.pnml","3020","2020","26040","0","tg,bs,hf","282.860","3020","2020","","","","","","","","","1793.34","2962576","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","closed_system2.pnml","231","202","846","0","tg,bs,hf","0.010","231","202","22273","22273","3.370","349874","8904","1446","1944","1053","3.42","2901028",
"performance","ootime","explore","chain","sat-like","40","true","true","BridgeAndVehicles-V50-P20-N20-unfolded.pnml","138","2348","18090","0","tg,bs,hf","7.130","138","2348","","","","","","","","","1797.15","3009224","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","40","true","true","unf-8x8-4stageSEN-02.pnml","168","592","3456","0","tg,bs,hf","0.220","168","592","","","","","","","","","1628.39","3948664","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","unf-8x8-4stageSEN-10.pnml","168","592","3456","0","tg,bs,hf","0.240","168","592","","","","","","","","","1775.80","3946608","","","","","","",
"performance","done","","bfs","sat-like","40","true","true","Philosophers-500.pnml","2500","2500","8000","0","tg,bs,hf","0.520","2500","2500","28363","28363","39.440","3.636029179587e+238","16679","16000","22119","14000","41.84","3482848",
"performance","done","","bfs-prev","sat-like","40","true","true","lamport_fmea-2.pnml","69","96","402","0","tg,bs,hf","0.000","69","96","2368","2368","0.100","380","888","344","723","409","0.12","2891532",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","2D8_gradient_40x40_100.pnml","1600","12324","24648","0","tg,bs,hf","3.410","1600","12324","","","","","","","","","1784.98","4062796","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","2D8_gradient_50x50_150.pnml","2500","19404","38808","0","tg,bs,hf","7.390","2500","19404","","","","","","","","","1770.15","4226820","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","sg-13-6-13.pnml","2301","2756","11024","0","tg,bs,hf","0.810","2301","2756","","","","","","","","","1785.81","3984040","","","","","","",
"performance","done","","bfs","sat-like","40","true","true","2D8_gradient_20x20_10.pnml","400","2964","5928","0","tg,bs,hf","0.360","400","2964","155784","155784","1668.840","3.23081977575776e+19","26290","251940","228228","195624","1669.66","3958104",
"performance","ootime","explore","chain","sat-like","40","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.710","1408","2400","","","","","","","","","1788.82","3964472","","","","","","",
"performance","done","","chain","sat-like","40","true","true","ring.pnml","139","87","410","0","tg,bs,hf","0.000","139","87","7461","7461","3.270","902651904000","4834","772","1081","751","3.27","2901412",
"performance","done","","bfs","sat-like","40","true","true","parking_1_4.pnml","65","97","284","65","tg,bs,hf","0.000","65","97","2475","2475","0.130","31745","657","407","275","260","0.14","2891440",
"performance","done","","chain","sat-like","40","true","true","CircularTrain-096.pnml","192","96","384","0","tg,bs,hf","0.000","192","96","19934","19934","14.050","2.59130027829661e+21","16297","896","1102","928","14.06","2916228",
"performance","done","","chain","sat-like","40","true","true","RAS-C-15.pnml","90","60","264","0","tg,bs,hf","0.000","90","60","553","553","0.040","578878464","768","528","908","746","0.05","2890252",
"performance","oomem","mddtable","chain","sat-like","40","true","true","QCertifProtocol_22-unfold.pnml","1966","356","4323","0","tg,bs,hf","0.460","1966","356","","","","","","","","","452.82","3956492","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","PolyORB-LF-S06-J06-T08-unfolded.pnml","894","14334","119772","0","tg,bs,hf","1079.570","894","14334","","","","","","","","","1795.75","3247416","","","","","","",
"performance","done","","chain","sat-like","40","true","true","shared_memory-pt-5.pnml","41","55","200","0","tg,bs,hf","0.000","41","55","216","216","0.020","1863","464","390","539","340","0.04","2071572",
"performance","done","","chain","sat-like","40","true","true","rwmutex-r20w10.pnml","80","60","560","0","tg,bs,hf","0.010","80","60","138","138","16.940","1048586","1608","1120","1550","20971660","16.96","2891560",
"performance","ootime","explore","chain","sat-like","40","true","true","PolyORB-LF-S04-J04-T10-unfolded.pnml","870","5034","34774","0","tg,bs,hf","41.690","870","5034","","","","","","","","","1794.64","3070776","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","BridgeAndVehicles-V80-P50-N20-unfolded.pnml","198","3728","28830","0","tg,bs,hf","16.310","198","3728","","","","","","","","","1797.27","3167100","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","RAS-R-100.pnml","400","202","1000","0","tg,bs,hf","0.000","400","202","220150","220150","23.410","6.46501806116397e+31","1391","2000","2598","1596","23.47","2981888",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","TokenRing-30-unfolded.pnml","961","27931","111724","0","tg,bs,hf","80.560","961","27931","","","","","","","","","1795.70","3656136","","","","","","",
"statistics","error","boostperm","bfs","sat-like","40","true","true","eratosthenes-050.pnml","49","108","324","0","tg,bs,hf","","","","","","","","","","","","0.02","88","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","Peterson-6.pnml","1330","2030","6272","0","tg,bs,hf","0.760","1330","2030","","","","","","","","","1796.65","3222460","","","","","","",
"performance","sigsegfault","sendinfo","bfs-prev","sat-like","40","true","true","neoelection-6.unf.pnml","4830","8435","49028","0","tg,bs,hf","","","","","","","","","","","","38.37","158672","","","","","","",
"performance","ootime","regroup","bfs","sat-like","40","true","true","galloc_res-5.pnml","75","56105","492760","0","tg,bs,hf","","","","","","","","","","","","1796.72","1050796","","","","","","",
"performance","done","","chain","sat-like","40","true","true","erk-000001.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","55","55","0.000","13","27","68","79","43","0.00","1669900",
"performance","done","","chain","sat-like","40","true","true","SwimmingPool-1.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","168","168","0.300","89621","6729","1705","1365","5327","0.31","2059748",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","echo-d2r11.pnml","1119","874","4996","0","tg,bs,hf","0.200","1119","874","","","","","","","","","1790.72","3950696","","","","","","",
"performance","done","","chain-prev","sat-like","40","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","198","198","0.010","1501","349","248","248","208","0.01","771280",
"performance","done","","bfs-prev","sat-like","40","true","true","TokenRing-10-unfolded.pnml","121","1111","4444","0","tg,bs,hf","0.230","121","1111","77833","77833","2.590","58905","3160","2040","8696","5838","2.91","2905068",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","BridgeAndVehicles-V20-P10-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.320","68","548","","","","","","","","","1792.13","3945096","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.030","265","206","","","","","","","","","1791.50","3943476","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","2D8_gradient_5x5_350.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","1788.69","3941928","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","Kanban-100.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1760.77","3941260","","","","","","",
"performance","done","","bfs","sat-like","40","true","true","SwimmingPool-2.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","1407","1407","47.420","3408031","62174","6035","4735","35247","47.44","2958056",
"statistics","oomem","mddtable","chain-prev","sat-like","40","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1417.36","3939564","","","","","","",
"performance","oomem","cache","bfs","sat-like","40","true","true","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","42.880","25000","25000","","","","","","","","","54.12","3253700","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","PolyORB-LF-S06-J04-T06-unfolded.pnml","632","10500","88770","0","tg,bs,hf","570.510","632","10500","","","","","","","","","1796.38","3910540","","","","","","",
"performance","done","","chain-prev","sat-like","40","true","true","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.000","111","45","1280","1280","0.060","204","629","446","568","177","0.06","2883384",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.380","476","920","","","","","","","","","1795.12","3953040","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","BridgeAndVehicles-V20-P10-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","5.740","108","2228","","","","","","","","","1796.06","3857292","","","","","","",
"performance","done","","chain-prev","sat-like","40","true","true","distributeur-01-unfolded-02.pnml","24","72","440","0","tg,bs,hf","0.010","24","72","360","360","0.010","4096","52","880","936","744","0.02","2817816",
"performance","ootime","explore","chain-prev","sat-like","40","true","true","2D8_gradient_30x30_150.pnml","900","6844","13688","0","tg,bs,hf","1.250","900","6844","","","","","","","","","1784.34","3987916","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","40","true","true","Peterson-5.pnml","834","1242","3828","0","tg,bs,hf","2.200","834","1242","","","","","","","","","1795.28","3553588","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","PolyORB-LF-S04-J04-T06-unfolded.pnml","554","2998","20754","0","tg,bs,hf","13.030","554","2998","","","","","","","","","1793.64","3988904","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","FMS-5.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","1420","1420","0.250","2895018","432","580","525","543","0.26","2891212",
"statistics","ootime","explore","chain-prev","sat-like","40","true","true","erk-001000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1792.32","3939224","","","","","","",
"performance","done","","chain-prev","sat-like","40","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.200","230","220","990","990","0.470","1124","883","4920","6922","205060","0.71","2143576",
"performance","ootime","explore","bfs-prev","sat-like","40","true","true","2D8_gradient_40x40_10.pnml","1600","12324","24648","0","tg,bs,hf","3.500","1600","12324","","","","","","","","","1785.50","4066548","","","","","","",
"performance","done","","bfs-prev","sat-like","40","true","true","rwmutex-r10w100.pnml","230","220","2460","0","tg,bs,hf","0.190","230","220","1230","1230","0.540","1124","883","4920","6922","205060","0.77","2895176",
"performance","ootime","explore","chain","sat-like","40","true","true","erk-100000.pnml","11","11","34","0","tg,bs,hf","0.000","11","11","","","","","","","","","1794.23","3939180","","","","","","",
"performance","oomem","mddtable","chain","sat-like","40","true","true","soli2_counter.pnml","75","92","644","0","tg,bs,hf","0.010","75","92","","","","","","","","","1034.66","3940616","","","","","","",
"performance","oomem","mddtable","chain-prev","sat-like","40","true","true","angiogenesis-25.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","","","","","","","","","1618.05","3939580","","","","","","",
"performance","ootime","explore","chain","sat-like","40","true","true","MAPK-160.pnml","22","30","90","0","tg,bs,hf","0.000","22","30","","","","","","","","","1788.77","3939548","","","","","","",
"performance","done","","chain","sat-like","40","true","true","RAS-R-3.pnml","12","8","30","0","tg,bs,hf","0.000","12","8","32","32","0.000","20","33","60","76","44","0.01","1688444",
"performance","ootime","explore","bfs","sat-like","40","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","192.370","1202","13457","","","","","","","","","1785.75","4108916","","","","","","",
"performance","ootime","explore","bfs","sat-like","40","true","true","SwimmingPool-5.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","1792.53","3920140","","","","","","",
