"filename","filetype","order","saturation","sat.granularity","timeAvg","timeSd","solvedCount","peak.nodes","timeBest","memBest","timeMark","memMark"
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",5,5.391,0.616863932412255,10,6518,1.458,6490,3.69753086419753,1.00431432973806
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",10,5.855,0.441845875592132,10,6490,1.458,6490,4.01577503429355,1
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",20,4.688,0.202966882903482,10,6490,1.458,6490,3.21536351165981,1
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",40,5.018,0.460791589429418,10,7421,1.458,6490,3.44170096021948,1.14345146379045
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",80,22.388,0.706207397928461,10,17047,1.458,6490,15.3552812071331,2.626656394453
"2D8_gradient_10x10_10","pnml","chain-prev","sat-loop",2147483647,23.115,0.491601690621811,10,15799,1.458,6490,15.8539094650206,2.43436055469954
"2D8_gradient_10x10_100","pnml","bfs","none",,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",1,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-like",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",1,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs","sat-loop",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","none",,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",1,1407.427,632.116648958086,3,,1407.427,505000,1,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-like",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",1,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",10,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",20,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",40,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",80,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","bfs-prev","sat-loop",2147483647,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","none",,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-like",1,1518.589,593.269528338043,2,505000,1407.427,505000,1.07898242679727,1
"2D8_gradient_10x10_100","pnml","chain","sat-like",5,1800,0,0,,1407.427,505000,1.27892956437527,
"2D8_gradient_10x10_100","pnml","chain","sat-like",10,1800,0,0,,1407.427,505000,1.27892956437527,
