"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","bfs-prev","sat-like","2147483647","true","true","angiogenesis-05.pnml","39","64","185","0","tg,bs,hf","0.000","39","64","4032","4032","22.560","42734935","11992","2999","2744","4011","22.57","3050740",
"performance","ootime","regroup","chain-prev","sat-like","2147483647","true","true","ARMCacheCoherence.pnml","87","33676","246935","87","tg,bs,hf","","","","","","","","","","","","1797.60","382424","","","","","","",
"performance","oomem","mddtable","chain","sat-like","2147483647","true","true","sg-8-4-8.pnml","896","1056","4224","0","tg,bs,hf","0.150","896","1056","","","","","","","","","222.72","3951572","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","2147483647","true","true","hc5k3p3b15.pnml","9153","25110","100440","0","tg,bs,hf","84.740","9153","25110","","","","","","","","","89.47","1201088","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","FMS-500.pnml","22","20","50","0","tg,bs,hf","0.000","22","20","","","","","","","","","1791.93","3933248","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","2-100_phaseVariation.pnml","14","65","443","0","tg,bs,hf","0.010","14","65","","","","","","","","","1792.05","3939824","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","true","true","PolyORB-NT-S10-J20-unfolded.pnml","474","11760","111119","0","tg,bs,hf","733.050","474","11760","","","","","","","","","1797.05","3638260","","","","","","",
"statistics","ootime","explore","bfs-prev","sat-like","2147483647","true","true","HouseConstruction-100.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","","","","","","","","","1779.11","3941320","","","","","","",
"performance","oomem","cache","chain-prev","sat-like","2147483647","true","true","TokenRing-50-unfolded.pnml","2601","127551","510204","0","tg,bs,hf","1744.440","2601","127551","","","","","","","","","1756.10","1828552","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","true","true","echo-d2r19.pnml","3455","2730","15940","0","tg,bs,hf","1.460","3455","2730","","","","","","","","","1795.38","3204848","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","true","true","ProductionCell.pnml","176","134","513","176","tg,bs,hf","0.010","176","134","9514","9514","51.670","11329291100161","16311","718","502","1556","51.70","3098504",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.710","1408","2400","","","","","","","","","1034.46","3965228","","","","","","",
"performance","oomem","mddtable","bfs-prev","sat-like","2147483647","true","true","hc3k4p4b12.pnml","1408","2400","9600","0","tg,bs,hf","0.710","1408","2400","","","","","","","","","1056.77","3967120","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","SwimmingPool-8.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","","","","","","","","","1779.11","3941132","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","true","true","20-100_phaseVariation.pnml","1202","13457","93395","0","tg,bs,hf","191.870","1202","13457","","","","","","","","","1790.34","4108896","","","","","","",
