"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","bfs-prev","sat-loop","5","sorter.4","dve2C","tg,bs,hf","0.000","","","","","","26","58","50757","50757","32.490","13184427","29626","1262","2944","17685","32.51","3300648","","","","","","","","",
"performance","done","","bfs-prev","sat-loop","5","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","12300","12300","0.320","25685","1040","332","3479","5294","0.33","2895128","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","telephony.6","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","ootime","explore","chain","sat-loop","5","peg_solitaire.3","dve2C","tg,bs,hf","3.620","","","","","","51","240","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","sat-loop","5","firewire_link.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","6232","","","","","","","","",
"performance","done","","bfs","sat-loop","5","fischer.7","dve2C","tg,bs,hf","0.000","","","","","","18","49","5692","5692","281.600","386297005","15741","306","782","392553","281.62","3831032","","","","","","","","",
"performance","done","","bfs","sat-loop","5","peterson.6","dve2C","tg,bs,hf","0.000","","","","","","20","28","3974","3974","43.840","174495861","64009","865","536","30916","43.86","3241060","","","","","","","","",
"performance","error","boostperm","chain","sat-loop","5","firewire_link.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.13","9088","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","lann.3","dve2C","tg,bs,hf","0.000","","","","","","20","40","4986","4986","0.950","1832139","1819","187","368","638","0.96","2905272","","","","","","","","",
"performance","done","","chain-prev","sat-loop","5","bopdp.2","dve2C","tg,bs,hf","0.000","","","","","","24","79","6646","6646","0.250","25685","1040","332","3479","5294","0.26","2891056","","","","","","","","",
