"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","ootime","regroup","bfs","sat-like","2147483647","PolyORB-LF-S06-J04-T06-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","IOTP_c1m1p1d1","pnml","tg,bs,hf","0.000","","","","","","111","45","1980","1980","0.060","204","629","446","568","177","0.07","2892004","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","PolyORB-LF-S02-J04-T06-unfolded","pnml","tg,bs,hf","0.350","","","","","","476","920","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","BridgeAndVehicles-V20-P10-N50-unfolded","pnml","tg,bs,hf","5.750","","","","","","108","2228","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","distributeur-01-unfolded-02","pnml","tg,bs,hf","0.010","","","","","","24","72","360","360","0.010","1024","45","296","826","518","0.02","2859208","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","2D8_gradient_30x30_150","pnml","tg,bs,hf","1.140","","","","","","900","6844","","","","","","","","","","","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","Peterson-5","pnml","tg,bs,hf","2.480","4915","3513362","3852541","211.04765","224.46947","834","1242","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","PolyORB-LF-S04-J04-T06-unfolded","pnml","tg,bs,hf","14.270","","","","","","554","2998","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","FMS-5","pnml","tg,bs,hf","0.000","","","","","","22","20","1420","1420","0.190","2895018","432","580","525","543","0.20","2899340","","","","","","","","",
"statistics","ootime","explore","chain-prev","sat-like","2147483647","erk-001000","pnml","tg,bs,hf","0.000","17","526","725","6.696","6.919","11","11","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","rwmutex-r10w100","pnml","tg,bs,hf","0.190","","","","","","230","220","440","440","0.420","1124","883","4920","6922","205060","0.66","2894804","","","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","2147483647","2D8_gradient_40x40_10","pnml","tg,bs,hf","3.130","","","","","","1600","12324","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs-prev","sat-like","2147483647","rwmutex-r10w100","pnml","tg,bs,hf","0.180","","","","","","230","220","2420","2420","0.620","1124","883","4920","6922","205060","0.84","2595592","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","erk-100000","pnml","tg,bs,hf","0.000","","","","","","11","11","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","soli2_counter","pnml","tg,bs,hf","0.020","","","","","","75","92","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","angiogenesis-25","pnml","tg,bs,hf","0.000","","","","","","39","64","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","MAPK-160","pnml","tg,bs,hf","0.000","","","","","","22","30","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","sat-like","2147483647","RAS-R-3","pnml","tg,bs,hf","0.000","","","","","","12","8","32","32","0.000","20","33","60","76","44","0.00","1873268","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","20-100_phaseVariation","pnml","tg,bs,hf","207.480","","","","","","1202","13457","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","SwimmingPool-5","pnml","tg,bs,hf","0.000","","","","","","9","7","","","","","","","","","","","","","","","","","","",
"performance","ootime","regroup","chain","sat-like","2147483647","PolyORB-LF-S06-J06-T08-unfolded","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","bfs","sat-like","2147483647","CircularTrain-096","pnml","tg,bs,hf","0.000","","","","","","192","96","","","","","","","","","","","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","Kanban-500","pnml","tg,bs,hf","0.000","","","","","","16","16","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","2147483647","2D8_gradient_10x10_10","pnml","tg,bs,hf","0.030","","","","","","100","684","34884","34884","71.390","42634215112710","6490","58140","52668","45144","71.46","3357964","","","","","","","","",
"performance","ootime","explore","chain","sat-like","2147483647","cs_repetitions-4-unfolded","pnml","tg,bs,hf","0.020","","","","","","117","176","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","2147483647","FMS-10","pnml","tg,bs,hf","0.000","","","","","","22","20","420","420","0.360","2501413200","1437","1505","1365","2048","0.36","2191508","","","","","","","","",
"performance","ootime","explore","chain-prev","sat-like","2147483647","Philosophers-2000","pnml","tg,bs,hf","6.830","","","","","","10000","10000","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs","sat-like","2147483647","planning","pnml","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","4176","","","","","","","","",
