"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","chain","sat-like","30","true","true","SwimmingPool-1.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","168","168","0.220","89621","6729","1705","1365","5327","0.22","2888664",
"performance","ootime","explore","chain-prev","sat-like","30","true","true","echo-d2r11.pnml","1119","874","4996","0","tg,bs,hf","0.210","1119","874","","","","","","","","","1776.01","3950352","","","","","","",
"performance","done","","chain-prev","sat-like","30","true","true","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","198","198","0.000","1501","349","248","248","208","0.00","2571820",
"performance","done","","bfs-prev","sat-like","30","true","true","TokenRing-10-unfolded.pnml","121","1111","4444","0","tg,bs,hf","0.260","121","1111","77269","77269","3.270","58905","3160","2040","8696","5838","3.62","2905064",
"performance","done","","chain-prev","sat-like","30","true","true","BridgeAndVehicles-V20-P10-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.330","68","548","63203","63203","856.940","58718346","628778","11189","32941","160762","857.51","3936616",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.020","265","206","","","","","","","","","1777.44","3943476","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","2D8_gradient_5x5_350.pnml","25","144","288","0","tg,bs,hf","0.010","25","144","","","","","","","","","1789.02","3941932","","","","","","",
"performance","ootime","explore","bfs-prev","sat-like","30","true","true","Kanban-100.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","1733.41","3939240","","","","","","",
"performance","done","","bfs","sat-like","30","true","true","SwimmingPool-2.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","1407","1407","44.440","3408031","62174","6035","4735","35247","44.46","2958052",
"statistics","ootime","explore","chain-prev","sat-like","30","true","true","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","","","","","","","","","1782.10","3939692","","","","","","",
