"type","status","status-spec","order","saturation","sat-granularity","filename","filetype","regroup-strategy","regroup-time","bandwidth","profile","span","average-wavefront","RMS-wavefront","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","time","memory","peak-nodes","LDDop-union","LDDop-minus","LDDop-relProd","LDDop-satCount","LDDop-satCountL","LDDop-zip","LDDop-relProdUnion","LDDop-projectMinus",
"performance","done","","bfs","none","","peterson.5","dve2C","tg,bs,hf","0.000","","","","","","20","28","2660","2660","12.350","131064750","10285","798","762","28983","12.35","3069012","","","","","","","","",
"performance","ootime","explore","bfs","none","","brp2.6","dve2C","tg,bs,hf","0.000","","","","","","19","33","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","elevator.3","dve2C","tg,bs,hf","0.000","","","","","","38","52","2964","2964","17.370","416935","156712","1605","3030","15660","17.43","2981104","","","","","","","","",
"performance","done","","chain","none","","brp2.1","dve2C","tg,bs,hf","0.000","","","","","","19","33","4125","4125","2.970","42285","27630","3911","6343","15670","2.99","2901148","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","sokoban.3","dve2C","tg,bs,hf","0.030","","","","","","213","9","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","peterson.7","dve2C","tg,bs,hf","0.000","","","","","","25","35","3185","3185","102.540","142471098","64853","5334","5534","159088","102.57","3675388","","","","","","","","",
"performance","done","","chain-prev","none","","schedule_world.1","dve2C","tg,bs,hf","0.000","","","","","","22","26","182","182","0.080","23061","703","253","319","382","0.08","2892932","","","","","","","","",
"performance","done","","bfs","none","","bopdp.3","dve2C","tg,bs,hf","0.000","","","","","","26","79","10586","10586","4.110","1040953","5313","360","3359","5329","4.12","2917156","","","","","","","","",
"performance","done","","chain-prev","none","","pouring.2","dve2C","tg,bs,hf","0.580","","","","","","7","1724","10344","10344","1.140","51624","78","6896","35512","177564","1.77","2913192","","","","","","","","",
"performance","done","","chain","none","","hanoi.1","dve2C","tg,bs,hf","0.000","","","","","","36","6","576","576","2.220","6561","15950","75335","52146","39366","2.27","2915456","","","","","","","","",
"performance","error","boostperm","chain-prev","none","","firewire_tree.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.06","10632","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","hanoi.4","dve2C","tg,bs,hf","0.010","","","","","","63","6","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","none","","exit.2","dve2C","tg,bs,hf","0.000","","","","","","28","89","801","801","0.250","33670","3289","656","5116","21106","0.25","2895128","","","","","","","","",
"performance","ootime","explore","bfs","none","","hanoi.2","dve2C","tg,bs,hf","0.000","","","","","","48","6","","","","","","","","","","","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","frogs.2","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.00","92","","","","","","","","",
"performance","done","","chain","none","","at.1","dve2C","tg,bs,hf","0.000","","","","","","10","43","989","989","0.240","39354","2491","230","735","1339","0.25","2892908","","","","","","","","",
"statistics","done","","chain-prev","none","","sorter.4","dve2C","tg,bs,hf","0.000","229","16214","17392","11.913","12.651","26","58","19952","19952","20.740","13184427","29626","1262","2944","17685","21.07","3134748","46938","10438429","20359431","27287052","3975219","1212","3178914","","29863846",
"performance","done","","chain-prev","none","","peg_solitaire.1","dve2C","tg,bs,hf","0.020","","","","","","18","48","336","336","3.450","32181","8621","176220","413808","1544688","3.54","2966772","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","elevator.5","dve2C","tg,bs,hf","0.000","","","","","","54","68","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","none","","extinction.3","dve2C","tg,bs,hf","0.000","","","","","","49","112","4144","4144","3.910","751930","29219","1039","3368","4858","3.95","2915908","","","","","","","","",
"performance","done","","bfs-prev","none","","mcs.3","dve2C","tg,bs,hf","0.000","","","","","","17","52","3640","3640","4.590","571459","19764","360","879","1606","4.60","2936036","","","","","","","","",
"performance","ootime","explore","chain-prev","none","","anderson.5","dve2C","tg,bs,hf","0.000","","","","","","16","30","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","none","","anderson.6","dve2C","tg,bs,hf","0.000","","","","","","19","36","6516","6516","36.940","18206917","50143","1234","1477","4080","36.96","3169500","","","","","","","","",
"performance","done","","chain-prev","none","","cyclic_scheduler.1","dve2C","tg,bs,hf","0.000","","","","","","32","48","912","912","0.010","4606","221","218","450","352","0.01","2893096","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","plc.4","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.02","4944","","","","","","","","",
"performance","done","","chain-prev","none","","rether.2","dve2C","tg,bs,hf","0.000","","","","","","23","66","3696","3696","0.950","9278","5155","529","2048","3788","0.96","2895096","","","","","","","","",
"performance","done","","chain","none","","lann.6","dve2C","tg,bs,hf","0.000","","","","","","20","40","2480","2480","68.340","144151628","98221","315","490","1082","68.38","3525828","","","","","","","","",
"performance","done","","chain-prev","none","","rether.3","dve2C","tg,bs,hf","0.010","","","","","","35","111","16539","16539","21.100","305334","55102","1191","5513","16929","21.13","2971116","","","","","","","","",
"performance","error","boostperm","bfs","none","","elevator_planning.1","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","92","","","","","","","","",
"performance","ootime","explore","bfs-prev","none","","anderson.7","dve2C","tg,bs,hf","0.000","","","","","","19","36","","","","","","","","","","","","","","","","","","",
"performance","done","","chain","none","","peterson.2","dve2C","tg,bs,hf","0.000","","","","","","15","21","399","399","0.080","124704","532","257","333","1923","0.08","2892840","","","","","","","","",
"performance","error","boostperm","bfs-prev","none","","loyd.3","dve2C","tg,bs,hf","","","","","","","","","","","","","","","","","0.01","84","","","","","","","","",
"performance","done","","bfs","none","","synapse.5","dve2C","tg,bs,hf","0.010","","","","","","28","167","12024","12024","5.110","83263","20695","1154","14993","41330","5.15","2907720","","","","","","","","",
