"type","status","status-spec","order","saturation","sat-granularity","save-sat-levels","next-union","filename","PT-places","PT-transitions","PT-arcs","PT-safeplaces","regroup-strategy","regroup-time","state-vector-length","groups","group-checks","next-state-calls","reachability-time","statespace-states","statespace-nodes","group-next","group-explored-nodes","group-explored-vectors","max-tokens","time","memory","bandwidth","profile","span","average-wavefront","RMS-wavefront","peak-nodes","BDD-relProd","BDD-satCount","BDD-satCountL","BDD-relProdUnion","BDD-projectMinus",
"performance","done","","chain-prev","sat-like","5","true","false","HouseConstruction-002.pnml","26","18","51","0","tg,bs,hf","0.000","26","18","154","154","0.000","1501","349","248","248","208","2","0.01","2658220","","","","","",
"performance","done","","bfs-prev","sat-like","5","true","false","TokenRing-10-unfolded.pnml","121","1111","4444","0","tg,bs,hf","0.230","121","1111","55369","55369","3.220","58905","3160","2040","8696","5838","1","3.54","2906332","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","BridgeAndVehicles-V20-P10-N10-unfolded.pnml","68","548","4070","0","tg,bs,hf","0.310","68","548","169269","169269","190.270","6732570","562351","9413","30900","50042","20","190.77","3125816","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","echo-d3r3.pnml","265","206","1252","0","tg,bs,hf","0.030","265","206","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","2D8_gradient_5x5_350.pnml","25","144","288","0","tg,bs,hf","0.000","25","144","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","Kanban-100.pnml","16","16","40","0","tg,bs,hf","0.000","16","16","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","bfs","sat-like","5","true","false","SwimmingPool-2.pnml","9","7","20","0","tg,bs,hf","0.000","9","7","890","890","3.730","3408031","62174","6035","4735","35247","40","3.76","2909488","","","","","",
"statistics","ootime","noresponse","chain-prev","sat-like","5","true","false","angiogenesis-50.pnml","39","64","185","0","tg,bs,hf","0.010","39","64","","","","","","","","","","","","206","14587","16457","18.274","19.476","","","","","","",
"performance","oomem","alloc","bfs","sat-like","5","true","false","Philosophers-5000.pnml","25000","25000","80000","0","tg,bs,hf","42.770","25000","25000","","","","","","","","","","47.28","3412348","","","","","","","","","","","",
"performance","ootime","noresponse","bfs","sat-like","5","true","false","PolyORB-LF-S06-J04-T06-unfolded.pnml","632","10500","88770","0","tg,bs,hf","414.680","632","10500","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","IOTP_c1m1p1d1.pnml","111","45","224","0","tg,bs,hf","0.000","111","45","753","753","0.040","204","629","446","568","177","1","0.04","2891976","","","","","",
"performance","ootime","noresponse","chain-prev","sat-like","5","true","false","PolyORB-LF-S02-J04-T06-unfolded.pnml","476","920","4242","0","tg,bs,hf","0.350","476","920","","","","","","","","","","","","","","","","","","","","","","",
"performance","ootime","noresponse","bfs-prev","sat-like","5","true","false","BridgeAndVehicles-V20-P10-N50-unfolded.pnml","108","2228","17190","0","tg,bs,hf","5.350","108","2228","","","","","","","","","","","","","","","","","","","","","","",
"performance","done","","chain-prev","sat-like","5","true","false","distributeur-01-unfolded-02.pnml","24","72","440","0","tg,bs,hf","0.000","24","72","465","465","0.010","1024","45","296","826","518","1","0.03","2885832","","","","","",
